hotel,is_canceled,stays_in_weekend_nights,stays_in_week_nights,adr
Resort Hotel,0,2,3,123
Resort Hotel,0,2,3,107
Resort Hotel,0,2,4,163
Resort Hotel,0,2,4,82
Resort Hotel,1,2,4,163
Resort Hotel,1,2,5,105.5
Resort Hotel,0,2,5,164.2
Resort Hotel,0,2,5,97.29
Resort Hotel,1,2,5,114
Resort Hotel,0,2,5,98.4
Resort Hotel,0,4,5,175
Resort Hotel,0,4,6,63.6
Resort Hotel,0,4,6,124.45
Resort Hotel,0,4,7,110.7
Resort Hotel,0,4,10,74.07
Resort Hotel,0,4,10,134.1
Resort Hotel,0,1,4,167
Resort Hotel,0,1,3,123
Resort Hotel,0,1,3,117.81
Resort Hotel,0,1,3,171.32
Resort Hotel,0,1,3,210
Resort Hotel,0,1,3,97
Resort Hotel,0,1,3,117.81
Resort Hotel,0,0,0,0
Resort Hotel,0,0,0,0
Resort Hotel,0,1,0,131
Resort Hotel,0,1,1,98
Resort Hotel,0,1,1,87.3
Resort Hotel,0,1,2,97
Resort Hotel,1,1,3,167
Resort Hotel,0,1,3,91.5
Resort Hotel,0,1,3,73.8
Resort Hotel,0,1,4,123
Resort Hotel,0,1,4,175
Resort Hotel,0,1,5,117.8
Resort Hotel,0,1,5,117.63
Resort Hotel,0,2,5,185
Resort Hotel,1,2,5,71
Resort Hotel,0,2,5,47.25
Resort Hotel,0,3,5,151
Resort Hotel,1,3,7,87.3
Resort Hotel,0,3,7,120.6
Resort Hotel,0,3,7,63.86
Resort Hotel,0,3,7,157.1
Resort Hotel,0,3,7,91.37
Resort Hotel,0,3,8,73
Resort Hotel,0,4,10,110.7
Resort Hotel,0,4,10,93.6
Resort Hotel,0,2,5,83.5
Resort Hotel,1,0,2,73.8
Resort Hotel,0,0,3,82
Resort Hotel,0,0,3,185.5
Resort Hotel,0,0,0,0
Resort Hotel,0,0,0,0
Resort Hotel,0,0,1,109.8
Resort Hotel,0,0,1,195
Resort Hotel,0,0,1,109.8
Resort Hotel,0,0,4,193
Resort Hotel,0,0,4,97
Resort Hotel,0,0,4,150
Resort Hotel,0,0,4,98
Resort Hotel,1,0,5,91.5
Resort Hotel,1,2,5,139
Resort Hotel,0,2,5,79.5
Resort Hotel,1,2,5,47.25
Resort Hotel,0,4,10,126.65
Resort Hotel,0,0,3,107
Resort Hotel,0,0,4,131
Resort Hotel,0,0,4,131
Resort Hotel,1,0,4,123
Resort Hotel,0,0,4,146
Resort Hotel,0,0,4,110.7
Resort Hotel,1,0,4,73.8
Resort Hotel,0,0,1,61
Resort Hotel,1,0,1,104.72
Resort Hotel,1,0,1,104.72
Resort Hotel,0,0,2,104.72
Resort Hotel,1,1,4,66.42
Resort Hotel,0,2,4,77.96
Resort Hotel,1,2,5,112
Resort Hotel,0,2,5,107
Resort Hotel,0,2,5,89.68
Resort Hotel,0,2,5,155
Resort Hotel,0,2,6,112
Resort Hotel,0,2,7,130.1
Resort Hotel,0,2,7,100.1
Resort Hotel,0,0,1,123
Resort Hotel,0,0,2,124
Resort Hotel,0,0,2,146
Resort Hotel,1,0,3,97
Resort Hotel,1,0,3,123
Resort Hotel,1,0,3,153
Resort Hotel,0,0,3,82
Resort Hotel,1,1,3,105.08
Resort Hotel,1,1,3,65.42
Resort Hotel,0,1,3,98
Resort Hotel,0,2,3,75.46
Resort Hotel,0,2,3,65.5
Resort Hotel,0,2,5,90.95
Resort Hotel,0,2,5,93.6
Resort Hotel,0,2,5,119.25
Resort Hotel,0,2,5,134.73
Resort Hotel,0,2,5,112
Resort Hotel,1,2,6,118.13
Resort Hotel,0,0,1,131
Resort Hotel,0,0,2,88.2
Resort Hotel,0,0,2,73.8
Resort Hotel,0,0,2,98
Resort Hotel,0,0,2,110.5
Resort Hotel,0,0,2,131
Resort Hotel,0,0,2,185
Resort Hotel,0,0,2,87.3
Resort Hotel,0,0,2,73.8
Resort Hotel,0,1,2,120
Resort Hotel,0,1,2,98
Resort Hotel,0,1,2,96.3
Resort Hotel,0,2,2,197
Resort Hotel,0,2,2,197
Resort Hotel,1,2,3,123
Resort Hotel,0,2,3,82
Resort Hotel,0,2,3,165
Resort Hotel,0,2,3,149.4
Resort Hotel,0,2,5,106.84
Resort Hotel,0,2,5,161
Resort Hotel,0,2,5,134.43
Resort Hotel,0,2,5,144.43
Resort Hotel,0,2,5,152
Resort Hotel,0,2,5,125.54
Resort Hotel,0,2,5,133.83
Resort Hotel,0,2,6,159.75
Resort Hotel,0,2,7,120.6
Resort Hotel,0,3,7,112.2
Resort Hotel,0,4,7,110.6
Resort Hotel,0,4,9,105.9
Resort Hotel,0,2,5,95.27
Resort Hotel,0,2,5,108.83
Resort Hotel,1,2,3,153.96
Resort Hotel,0,2,3,120.6
Resort Hotel,0,2,4,90.67
Resort Hotel,1,2,4,126.67
Resort Hotel,0,2,4,144.4
Resort Hotel,0,2,4,99.5
Resort Hotel,0,2,5,139.4
Resort Hotel,1,2,5,73.8
Resort Hotel,0,2,2,89.97
Resort Hotel,0,2,2,123
Resort Hotel,0,2,2,123
Resort Hotel,0,0,1,123
Resort Hotel,0,0,1,144.9
Resort Hotel,0,0,1,153
Resort Hotel,0,0,1,131
Resort Hotel,0,1,1,100
Resort Hotel,0,1,1,65.5
Resort Hotel,0,1,1,123
Resort Hotel,0,2,1,123
Resort Hotel,0,2,1,131
Resort Hotel,0,2,5,104.68
Resort Hotel,0,2,5,166
Resort Hotel,1,2,6,111.25
Resort Hotel,0,2,6,213.75
Resort Hotel,0,4,6,178
Resort Hotel,0,2,5,113.9
Resort Hotel,0,2,5,129.29
Resort Hotel,0,1,0,153
Resort Hotel,0,1,0,98
Resort Hotel,0,2,4,169
Resort Hotel,1,2,4,93
Resort Hotel,0,2,5,132.29
Resort Hotel,0,2,5,123
Resort Hotel,0,2,5,117.22
Resort Hotel,0,2,5,149
Resort Hotel,1,2,5,164.57
Resort Hotel,0,2,5,107
Resort Hotel,0,2,5,117.22
Resort Hotel,0,2,5,119.25
Resort Hotel,0,2,5,123
Resort Hotel,1,2,5,105.71
Resort Hotel,0,2,5,123
Resort Hotel,0,2,5,144.43
Resort Hotel,1,3,5,126
Resort Hotel,0,4,5,148.3
Resort Hotel,0,4,5,125.22
Resort Hotel,0,4,7,123
Resort Hotel,0,4,7,130
Resort Hotel,1,4,10,133.16
Resort Hotel,0,2,5,78.84
Resort Hotel,0,1,0,80.1
Resort Hotel,0,2,0,193
Resort Hotel,0,2,0,88.2
Resort Hotel,0,2,0,90.71
Resort Hotel,0,2,0,114.5
Resort Hotel,0,2,0,120.2
Resort Hotel,0,2,1,79.5
Resort Hotel,0,2,1,117.9
Resort Hotel,1,2,1,128
Resort Hotel,0,2,2,90.95
Resort Hotel,0,2,2,107
Resort Hotel,0,2,2,130.05
Resort Hotel,0,2,3,123
Resort Hotel,1,2,3,103.8
Resort Hotel,0,2,3,196
Resort Hotel,0,2,3,149.4
Resort Hotel,0,2,5,175.71
Resort Hotel,0,2,5,119.7
Resort Hotel,1,2,5,100.86
Resort Hotel,0,2,5,100.86
Resort Hotel,0,1,1,82
Resort Hotel,0,1,1,73.8
Resort Hotel,0,1,1,117.9
Resort Hotel,0,1,1,82
Resort Hotel,0,1,1,150
Resort Hotel,0,1,1,161
Resort Hotel,0,1,1,64
Resort Hotel,1,1,1,123
Resort Hotel,0,1,2,110
Resort Hotel,0,1,2,88.2
Resort Hotel,0,1,2,130
Resort Hotel,0,1,2,88.2
Resort Hotel,0,1,2,165
Resort Hotel,0,1,3,114
Resort Hotel,1,1,4,79.5
Resort Hotel,1,1,4,132.8
Resort Hotel,0,1,4,120
Resort Hotel,1,1,4,79.5
Resort Hotel,0,1,4,120
Resort Hotel,1,1,4,144.2
Resort Hotel,0,1,4,107.2
Resort Hotel,1,1,4,120
Resort Hotel,0,1,4,120
Resort Hotel,0,1,4,163.8
Resort Hotel,1,1,5,98.5
Resort Hotel,1,1,5,130.5
Resort Hotel,0,1,5,153
Resort Hotel,0,1,5,98.5
Resort Hotel,0,2,5,119.7
Resort Hotel,0,2,5,184.6
Resort Hotel,0,2,5,181.22
Resort Hotel,1,2,5,100.86
Resort Hotel,0,1,0,100.2
Resort Hotel,0,1,3,134.25
Resort Hotel,0,3,5,96.3
Resort Hotel,0,3,6,83.09
Resort Hotel,1,0,1,105.5
Resort Hotel,0,0,1,134
Resort Hotel,0,0,1,8
Resort Hotel,0,0,2,146
Resort Hotel,1,0,4,126
Resort Hotel,0,0,4,111.15
Resort Hotel,0,0,5,136.2
Resort Hotel,0,0,5,101.8
Resort Hotel,0,1,5,127
Resort Hotel,0,1,5,161.5
Resort Hotel,0,1,5,230.67
Resort Hotel,1,2,5,65.7
Resort Hotel,0,2,5,180
Resort Hotel,0,2,5,168.57
Resort Hotel,1,2,7,107.67
Resort Hotel,1,2,7,96.9
Resort Hotel,0,2,7,107
Resort Hotel,0,2,9,73.41
Resort Hotel,0,4,10,109.9
Resort Hotel,0,4,10,109.9
Resort Hotel,0,4,11,187.5
Resort Hotel,0,0,1,134
Resort Hotel,1,0,3,91.5
Resort Hotel,1,0,3,132.44
Resort Hotel,0,2,4,106.9
Resort Hotel,1,2,5,131.86
Resort Hotel,0,2,6,216.13
Resort Hotel,0,0,2,107
Resort Hotel,0,0,2,107
Resort Hotel,0,0,2,107
Resort Hotel,0,0,2,107
Resort Hotel,0,0,2,107
Resort Hotel,0,2,7,190.33
Resort Hotel,0,0,2,107
Resort Hotel,0,0,2,94
Resort Hotel,1,0,2,0
Resort Hotel,0,0,2,98.75
Resort Hotel,0,0,2,148.23
Resort Hotel,0,0,2,94
Resort Hotel,0,0,2,107
Resort Hotel,0,0,2,107
Resort Hotel,0,0,2,148.23
Resort Hotel,0,0,2,0
Resort Hotel,0,0,2,107
Resort Hotel,0,0,2,107
Resort Hotel,0,0,2,107
Resort Hotel,0,0,2,107
Resort Hotel,0,0,2,98.75
Resort Hotel,1,0,2,195
Resort Hotel,0,0,2,120.6
Resort Hotel,0,0,1,123.2
Resort Hotel,1,0,1,112
Resort Hotel,1,0,1,123.2
Resort Hotel,0,0,1,169
Resort Hotel,0,0,2,198
Resort Hotel,1,0,2,103.5
Resort Hotel,0,0,2,135.6
Resort Hotel,0,0,2,103.5
Resort Hotel,0,0,3,184
Resort Hotel,1,0,3,134
Resort Hotel,1,0,3,147
Resort Hotel,1,0,3,151.33
Resort Hotel,0,0,3,121.33
Resort Hotel,0,2,3,150.2
Resort Hotel,1,2,3,139
Resort Hotel,0,2,3,150.2
Resort Hotel,0,1,3,75.44
Resort Hotel,1,1,3,135
Resort Hotel,0,2,4,166
Resort Hotel,1,2,4,135
Resort Hotel,0,2,5,130
Resort Hotel,0,2,6,96.3
Resort Hotel,0,4,10,160
Resort Hotel,0,0,0,0
Resort Hotel,0,0,2,127.25
Resort Hotel,0,0,2,164
Resort Hotel,0,0,2,144.5
Resort Hotel,0,0,2,112
Resort Hotel,1,0,2,134
Resort Hotel,1,0,2,127.25
Resort Hotel,0,0,2,155.5
Resort Hotel,1,0,2,110.5
Resort Hotel,0,0,2,144.5
Resort Hotel,0,0,2,144.5
Resort Hotel,0,0,2,123
Resort Hotel,0,0,2,120.6
Resort Hotel,1,0,2,107.6
Resort Hotel,1,1,2,120.6
Resort Hotel,0,2,3,107
Resort Hotel,0,2,3,133.75
Resort Hotel,0,2,3,103.5
Resort Hotel,0,2,3,84.8
Resort Hotel,0,2,3,107
Resort Hotel,0,2,3,107
Resort Hotel,0,2,3,84.8
Resort Hotel,0,2,3,107
Resort Hotel,0,2,3,195
Resort Hotel,0,2,4,164
Resort Hotel,0,2,5,195
Resort Hotel,0,2,5,125
Resort Hotel,1,2,5,195
Resort Hotel,0,2,5,132.3
Resort Hotel,0,2,5,145
Resort Hotel,0,2,5,92
Resort Hotel,0,2,5,132.3
Resort Hotel,0,2,6,147
Resort Hotel,0,2,6,167
Resort Hotel,0,2,6,210
Resort Hotel,0,3,7,194.9
Resort Hotel,0,1,2,103.5
Resort Hotel,0,1,2,118.5
Resort Hotel,0,1,2,192
Resort Hotel,0,1,2,128.27
Resort Hotel,0,1,2,135
Resort Hotel,0,1,2,126.3
Resort Hotel,1,1,2,154
Resort Hotel,0,1,2,96.3
Resort Hotel,0,1,2,126.3
Resort Hotel,1,0,1,136
Resort Hotel,0,1,2,118.5
Resort Hotel,0,1,2,116.33
Resort Hotel,0,2,2,164
Resort Hotel,0,2,1,147.67
Resort Hotel,0,2,4,145
Resort Hotel,0,2,4,147
Resort Hotel,1,2,4,168.3
Resort Hotel,0,2,5,167
Resort Hotel,0,2,5,137.75
Resort Hotel,0,2,2,145
Resort Hotel,0,2,2,132.6
Resort Hotel,1,2,2,147
Resort Hotel,1,2,2,157
Resort Hotel,1,2,3,210
Resort Hotel,0,2,3,132.5
Resort Hotel,0,2,3,98.02
Resort Hotel,0,2,3,126
Resort Hotel,0,0,1,173
Resort Hotel,0,0,1,249
Resort Hotel,0,1,1,186.5
Resort Hotel,0,2,1,95
Resort Hotel,0,2,5,241.5
Resort Hotel,0,2,5,177
Resort Hotel,0,2,5,153.73
Resort Hotel,0,2,5,115
Resort Hotel,1,2,5,127.03
Resort Hotel,0,2,5,128.25
Resort Hotel,0,2,5,128.25
Resort Hotel,0,2,5,115
Resort Hotel,0,2,6,135
Resort Hotel,1,2,6,167
Resort Hotel,0,2,6,135
Resort Hotel,0,4,10,124.5
Resort Hotel,0,1,0,98
Resort Hotel,0,1,0,98
Resort Hotel,0,1,0,135
Resort Hotel,0,1,0,88.2
Resort Hotel,0,1,0,120.6
Resort Hotel,0,2,0,154.5
Resort Hotel,1,2,1,145
Resort Hotel,0,2,2,92
Resort Hotel,1,2,2,154
Resort Hotel,0,2,3,115
Resort Hotel,1,2,4,110.53
Resort Hotel,1,2,5,158.5
Resort Hotel,0,2,5,131.37
Resort Hotel,1,2,5,117.71
Resort Hotel,0,2,5,123
Resort Hotel,1,2,5,158.5
Resort Hotel,0,2,5,117.84
Resort Hotel,1,2,5,154
Resort Hotel,0,2,5,116.85
Resort Hotel,0,2,4,129.16
Resort Hotel,1,2,4,214
Resort Hotel,1,2,4,115
Resort Hotel,0,2,5,123
Resort Hotel,0,2,5,123
Resort Hotel,1,3,5,195
Resort Hotel,0,4,6,135.2
Resort Hotel,0,4,10,123
Resort Hotel,0,2,4,130.5
Resort Hotel,0,1,0,123
Resort Hotel,1,1,2,179.1
Resort Hotel,0,0,0,0
Resort Hotel,0,0,0,0
Resort Hotel,0,1,3,115
Resort Hotel,0,1,3,115
Resort Hotel,0,1,3,103.5
Resort Hotel,0,1,3,157
Resort Hotel,1,1,3,135
Resort Hotel,0,1,3,111.65
Resort Hotel,1,1,3,135
Resort Hotel,1,1,4,195
Resort Hotel,0,1,4,104
Resort Hotel,1,1,4,135
Resort Hotel,1,1,5,214
Resort Hotel,0,1,5,133.17
Resort Hotel,1,1,5,141.33
Resort Hotel,0,2,5,121.01
Resort Hotel,1,2,5,240.64
Resort Hotel,0,2,5,167.5
Resort Hotel,0,2,5,152.43
Resort Hotel,0,2,5,148.34
Resort Hotel,0,2,5,167
Resort Hotel,1,2,5,172.93
Resort Hotel,1,2,5,179.1
Resort Hotel,0,2,5,192.5
Resort Hotel,1,3,6,92
Resort Hotel,1,3,6,111.2
Resort Hotel,0,3,7,141.6
Resort Hotel,0,3,7,141.6
Resort Hotel,0,3,7,141.6
Resort Hotel,1,3,8,200
Resort Hotel,1,3,8,200
Resort Hotel,1,0,2,157
Resort Hotel,0,0,2,99.5
Resort Hotel,1,0,3,115
Resort Hotel,1,0,4,195
Resort Hotel,0,0,4,103.5
Resort Hotel,0,0,5,207
Resort Hotel,0,1,5,163.33
Resort Hotel,0,2,5,151.86
Resort Hotel,0,2,5,95.57
Resort Hotel,0,2,6,112.05
Resort Hotel,0,2,7,160
Resort Hotel,0,2,8,103.18
Resort Hotel,0,0,1,153
Resort Hotel,1,0,4,119.75
Resort Hotel,1,0,4,135
Resort Hotel,0,0,4,167.69
Resort Hotel,1,0,4,195
Resort Hotel,1,0,4,135
Resort Hotel,1,1,4,178.4
Resort Hotel,0,0,0,0
Resort Hotel,0,0,0,0
Resort Hotel,0,0,1,154
Resort Hotel,0,0,1,134
Resort Hotel,1,0,1,112
Resort Hotel,0,0,3,194
Resort Hotel,1,0,3,153
Resort Hotel,1,0,3,135
Resort Hotel,0,0,3,184
Resort Hotel,1,1,3,210
Resort Hotel,1,1,3,139
Resort Hotel,0,2,3,101.46
Resort Hotel,1,2,4,145
Resort Hotel,1,1,3,173
Resort Hotel,0,2,6,217.05
Resort Hotel,0,0,2,164
Resort Hotel,0,0,2,173
Resort Hotel,1,0,1,112.5
Resort Hotel,0,0,2,153
Resort Hotel,0,0,2,173
Resort Hotel,0,0,2,153
Resort Hotel,0,0,2,134
Resort Hotel,0,0,2,153
Resort Hotel,1,0,2,233
Resort Hotel,0,0,2,154
Resort Hotel,0,0,2,173
Resort Hotel,1,0,2,135
Resort Hotel,1,0,2,132.5
Resort Hotel,0,1,2,222.67
Resort Hotel,1,0,2,135
Resort Hotel,0,0,2,107
Resort Hotel,1,1,2,127
Resort Hotel,1,2,2,135
Resort Hotel,0,2,2,149.7
Resort Hotel,1,2,2,161.25
Resort Hotel,0,2,2,107
Resort Hotel,0,2,3,75.44
Resort Hotel,0,2,3,75.44
Resort Hotel,0,2,5,115
Resort Hotel,1,2,5,159.2
Resort Hotel,1,2,5,163.29
Resort Hotel,1,2,6,210
Resort Hotel,0,2,6,154
Resort Hotel,0,2,7,166
Resort Hotel,0,3,7,132.5
Resort Hotel,1,3,7,107
Resort Hotel,1,4,10,121.98
Resort Hotel,0,0,0,0
Resort Hotel,0,2,1,133
Resort Hotel,0,0,1,107
Resort Hotel,0,0,1,117.81
Resort Hotel,0,0,1,107
Resort Hotel,1,0,1,120.6
Resort Hotel,0,1,1,147
Resort Hotel,1,1,1,153
Resort Hotel,1,1,1,153
Resort Hotel,1,1,1,134
Resort Hotel,0,1,1,153
Resort Hotel,0,2,1,118
Resort Hotel,0,2,2,134
Resort Hotel,0,2,3,135
Resort Hotel,0,2,3,158.77
Resort Hotel,0,2,3,134
Resort Hotel,1,2,3,134
Resort Hotel,0,2,3,142.03
Resort Hotel,0,2,3,240
Resort Hotel,0,2,4,134
Resort Hotel,1,2,4,134
Resort Hotel,0,2,5,147
Resort Hotel,0,2,5,176
Resort Hotel,1,2,5,120.6
Resort Hotel,1,2,5,166
Resort Hotel,1,2,5,134
Resort Hotel,0,2,5,147
Resort Hotel,0,2,5,167
Resort Hotel,0,2,5,107.2
Resort Hotel,1,2,6,131.63
Resort Hotel,0,2,6,233.05
Resort Hotel,0,2,6,90.12
Resort Hotel,1,3,6,120.6
Resort Hotel,1,3,6,125
Resort Hotel,1,3,6,154
Resort Hotel,0,4,6,120.6
Resort Hotel,0,4,8,114.25
Resort Hotel,1,4,10,107
Resort Hotel,0,2,5,88.55
Resort Hotel,1,2,5,149
Resort Hotel,0,2,5,195
Resort Hotel,1,2,5,164
Resort Hotel,1,2,2,154
Resort Hotel,1,2,3,120.6
Resort Hotel,0,2,1,103.5
Resort Hotel,0,2,1,115
Resort Hotel,1,2,4,95.02
Resort Hotel,1,2,4,132.5
Resort Hotel,0,2,3,209
Resort Hotel,1,2,4,95.02
Resort Hotel,1,2,4,132.5
Resort Hotel,0,2,5,180
Resort Hotel,0,2,0,103.18
Resort Hotel,0,2,5,174.01
Resort Hotel,1,3,5,133
Resort Hotel,1,3,5,133
Resort Hotel,0,2,5,107.2
Resort Hotel,0,0,0,0
Resort Hotel,1,1,1,210
Resort Hotel,0,1,1,145
Resort Hotel,1,1,1,195
Resort Hotel,1,1,1,124.2
Resort Hotel,1,1,1,167
Resort Hotel,0,1,2,145
Resort Hotel,0,1,2,166
Resort Hotel,0,1,2,115
Resort Hotel,0,1,2,166
Resort Hotel,1,1,3,120.6
Resort Hotel,0,1,3,162
Resort Hotel,0,1,3,153
Resort Hotel,0,1,3,133.2
Resort Hotel,0,1,3,134
Resort Hotel,0,1,3,107
Resort Hotel,0,1,3,145
Resort Hotel,0,1,3,145
Resort Hotel,1,1,3,107
Resort Hotel,0,1,3,167.2
Resort Hotel,1,1,3,134
Resort Hotel,0,1,3,130
Resort Hotel,1,1,3,164
Resort Hotel,0,1,3,149
Resort Hotel,0,1,4,154
Resort Hotel,0,1,4,195
Resort Hotel,1,1,4,134
Resort Hotel,0,1,4,107.2
Resort Hotel,1,1,4,164
Resort Hotel,1,1,5,183.45
Resort Hotel,0,1,5,159.6
Resort Hotel,0,1,5,120.6
Resort Hotel,1,2,5,164
Resort Hotel,1,2,5,219.43
Resort Hotel,1,2,5,134
Resort Hotel,1,2,5,164
Resort Hotel,0,2,5,107.2
Resort Hotel,0,2,5,102.72
Resort Hotel,0,0,1,114.85
Resort Hotel,0,0,1,114.85
Resort Hotel,0,0,2,135
Resort Hotel,1,0,3,195
Resort Hotel,1,0,3,173
Resort Hotel,0,0,4,107
Resort Hotel,0,0,4,107
Resort Hotel,0,0,4,164
Resort Hotel,0,0,5,138.8
Resort Hotel,1,0,5,154
Resort Hotel,0,0,5,135
Resort Hotel,0,1,5,103.18
Resort Hotel,1,2,6,115.5
Resort Hotel,0,2,8,90.95
Resort Hotel,0,0,0,0
Resort Hotel,1,0,4,108.54
Resort Hotel,0,0,4,146
Resort Hotel,1,1,4,165.4
Resort Hotel,0,1,4,134
Resort Hotel,1,1,4,133
Resort Hotel,1,1,4,240
Resort Hotel,0,1,4,157
Resort Hotel,0,0,1,188
Resort Hotel,1,1,4,133
Resort Hotel,0,1,4,145
Resort Hotel,0,1,4,134
Resort Hotel,1,1,4,134
Resort Hotel,1,1,4,186
Resort Hotel,0,2,5,90.95
Resort Hotel,1,2,5,141.65
Resort Hotel,1,2,5,99.24
Resort Hotel,0,2,4,108.06
Resort Hotel,1,2,5,90.95
Resort Hotel,1,2,6,148.63
Resort Hotel,1,0,1,173
Resort Hotel,0,0,1,107
Resort Hotel,1,0,1,114
Resort Hotel,1,0,1,153
Resort Hotel,0,0,2,153
Resort Hotel,0,0,3,250.33
Resort Hotel,1,0,3,146.67
Resort Hotel,1,0,3,154
Resort Hotel,1,0,3,120.6
Resort Hotel,0,0,3,280.74
Resort Hotel,0,1,3,193
Resort Hotel,1,0,3,146.67
Resort Hotel,1,0,3,154
Resort Hotel,1,1,3,154.5
Resort Hotel,1,1,3,120.6
Resort Hotel,1,2,3,137.8
Resort Hotel,0,2,7,160
Resort Hotel,0,2,7,125.89
Resort Hotel,0,2,7,125.89
Resort Hotel,1,2,5,126.71
Resort Hotel,0,0,0,0
Resort Hotel,0,0,0,0
Resort Hotel,0,0,1,188
Resort Hotel,1,0,1,153
Resort Hotel,1,0,1,173
Resort Hotel,1,0,1,173
